player,team,goals
Kylian Mbappé,France,8
Lionel Messi,Argentina,7
Julián Álvarez,Argentina,4
Olivier Giroud,France,4
Álvaro Morata,Spain,3
Gonçalo Ramos,Portugal,3
Enner Valencia,Ecuador,3
Bukayo Saka,England,3
Cody Gakpo,Netherlands,3
Richarlison,Brazil,3
Marcus Rashford,England,3
Giorgian De Arrascaeta,Uruguay,2
Niclas Füllkrug,Germany,2
Vincent Aboubakar,Cameroon,2
Neymar,Brazil,2
Harry Kane,England,2
Andrej Kramarić,Croatia,2
Rafael Leão,Portugal,2
Ferrán Torres,Spain,2
Mehdi Taremi,IR Iran,2
Ritsu Doan,Japan,2
Robert Lewandowski,Poland,2
Salem Al-Dawsari,Saudi Arabia,2
Cho Guesung,Korea Republic,2
Bruno Fernandes,Portugal,2
Wout Weghorst,Netherlands,2
Breel Embolo,Switzerland,2
Youssef En-Nesyri,Morocco,2
Kai Havertz,Germany,2
Kudus Mohammed,Ghana,2
Aleksandar Mitrović,Serbia,2
